Date,Close,High,Low,Open,Volume
,HD,HD,HD,HD,HD
2018-01-02,157.6803436279297,159.93615659434244,157.66356821668603,159.508479576801,4684700
2018-01-03,158.5021514892578,158.7956635894319,157.50423849962147,157.65517880538718,4530500
2018-01-04,159.76002502441406,160.0619184062676,158.0493043911692,159.22332710066195,4047400
2018-01-05,161.42886352539062,161.462401555152,159.76006183619188,160.11226873019493,4224800
2018-01-08,161.04306030273438,162.45190027656713,160.674090896049,160.77471775279162,3508500
2018-01-09,161.93197631835938,162.2422509877563,160.70762745693133,161.59653213911818,3012300
2018-01-10,160.84182739257812,162.03262560297048,160.71603100949213,161.64686794241774,3119500
2018-01-11,163.25697326660156,163.29890539723232,160.50639440296897,160.74119897943348,3899200
2018-01-12,164.7161407470703,167.23191524481865,163.37440202580567,163.94463810326772,6748400
2018-01-16,164.6238555908203,166.8377361047336,164.11231438742922,165.92367466132765,5692700
2018-01-17,167.56735229492188,167.56735229492188,165.0683405218988,165.62181395854606,3996100
2018-01-18,166.3178253173828,167.91953787976595,165.7559706438749,167.5337802254754,4474600
2018-01-19,168.83360290527344,168.83360290527344,166.98870444118847,167.55894043362485,5809600
2018-01-22,171.45843505859375,171.46681636762733,168.98457973328715,169.06006269815578,4857700
2018-01-23,171.82737731933594,173.04334511844223,171.19843375258012,171.8189960116328,3621700
2018-01-24,172.93434143066406,173.67230605079845,171.5338951508297,172.0789745114984,4370700
2018-01-25,172.2214813232422,173.4458301813147,170.93843773139272,173.42067346742644,3537700
2018-01-26,173.7812957763672,173.84838462523945,171.44163135293596,172.41440046774954,3778100
2018-01-29,171.84410095214844,174.09991324588773,171.6680039722149,173.78124450673178,3632900
2018-01-30,169.2361297607422,170.3598391748525,160.64896194438924,168.95101175344064,5979600
2018-01-31,168.47303771972656,171.97835706180916,167.91118291525586,170.41857626287128,4547300
2018-02-01,167.63441467285156,169.60510956864263,166.27590070819764,167.16480553918794,3553800
2018-02-02,162.6615753173828,167.1312690268622,162.21712289786342,167.08933689757205,6179000
2018-02-05,153.55445861816406,162.93829762804134,151.26510787503233,159.39105989261267,10618500
2018-02-06,160.20445251464844,160.97596765637874,147.10566244987643,149.78915165191933,11682700
2018-02-07,160.4141387939453,163.12279815330746,159.09755698659214,159.94452967040814,6016800
2018-02-08,151.96954345703125,160.2883690980995,151.7263447710499,160.2883690980995,7241800
2018-02-09,154.40139770507812,155.9779531542235,147.41593192347145,153.67182750274978,9059200
2018-02-12,154.3511199951172,156.82496188897252,153.80604074246526,156.43921703826484,6783700
2018-02-13,154.06600952148438,154.29243277717464,151.69279437804818,153.65509513832637,4273800
2018-02-14,154.87940979003906,155.18968443738157,151.82693835329354,152.52297058037192,6767000
2018-02-15,155.36582946777344,156.9759233913214,153.68025259470662,156.59855982728328,5113300
2018-02-16,156.79141235351562,157.64677904037245,155.02198424417264,155.18969994068308,7619200
2018-02-20,156.57339477539062,160.5399282321048,156.23795056174234,159.24849040236356,8922100
2018-02-21,153.51251220703125,157.63837962231426,153.34479651617656,156.99267357272936,7527200
2018-02-22,155.53353881835938,156.16248233130494,153.38674700818063,154.0660039548197,5653900
2018-02-23,157.94871520996094,157.99902865295817,155.65935118645982,156.1457357952512,4315400
2018-02-26,158.0409393310547,159.156254621782,157.5377793776119,158.63633205354319,4648000
