Strategy,Return,Volatility,Sharpe Ratio
Equal Weight,0.30901754127966824,0.26320223327618114,1.1740688421720669
Max Sharpe,0.46019884912588266,0.3454602394892557,1.332132606074325
Min Volatility,0.19515630156387212,0.21630792604240226,0.9022152129812209
