Date,AAPL,AMZN,GOOGL,HD,JPM,META,MSFT,NVDA,TSLA,UNH
2018-01-03,-0.00017386726887880233,0.012775310383486449,0.017060901955636032,0.005211859908596406,0.0010190604466546738,0.01791432787933611,0.004653811454109258,0.06581396743588575,-0.010233112708571634,0.010490110563916133
2018-01-04,0.0046450898036871635,0.004476012896857506,0.003884484927552334,0.007936002908083495,0.014325603918635688,-0.0018410624417116717,0.008801549805089515,0.005271130878935715,-0.008289977599700626,0.00434053236399734
2018-01-05,0.01138504703216947,0.016162516530176196,0.013260243489473744,0.010445907859125247,-0.006419656859224632,0.013671130532199927,0.012397907179467094,0.008474290883151658,0.006229740634655645,0.019069102635988155
2018-01-08,-0.0037137995909959365,0.014424678832250848,0.0035305575678004075,-0.002389927143330084,0.0014769813964938816,0.0076531259002223795,0.0010200857628006599,0.030640721141407257,0.06263821959024418,-0.01735710155495085
2018-01-09,-0.0001149874984847088,0.0046757095740346255,-0.0012743999989541788,0.005519741204333739,0.005068983673257588,-0.002177712228825346,-0.0006792083908920832,-0.0002704926170890021,-0.00808538113492141,0.004983362323224494
2018-01-10,-0.00022934961830467504,0.0013012055442500614,-0.0023814149196481615,-0.0067321411778363816,0.011004165727917847,-0.00015969654229630592,-0.004534344660886536,0.007840152434375414,0.003326413914539472,-0.007437638720149131
2018-01-11,0.005680010431607707,0.01781828254348916,0.0017205291877115947,0.015015658011200195,0.005351393763971313,-0.00037249434504782464,0.0029609698790018513,0.0017882745982160664,0.009408646715617364,0.005307634379441817
2018-01-12,0.010326476737759105,0.022339231610462695,0.016725873430454286,0.008937856994848836,0.016510386762586204,-0.04473565458311424,0.017256976519034684,-0.004908955032756901,-0.005119110235858537,0.014419537159131801
2018-01-16,-0.0050821860861841595,-0.0002605871874575838,4.420596426601975e-05,-0.0005602678391530835,-0.003550009495534412,-0.00546356639501544,-0.013951205451964488,-0.012871493742751206,0.011421116241414841,0.018631996728338374
2018-01-17,0.01651629779973418,-0.00755630863716783,0.0074291212086841085,0.017880134647178636,0.006413049203016996,-0.004428449812248547,0.020260455414072842,0.020944316057890155,0.02087858455510405,0.023743872470760152
2018-01-18,0.0008932370939476186,-0.0012972916415299185,-0.002747828289636267,-0.007456864123148943,0.002389641480910365,0.01238731156442574,-0.00044349250946185137,-0.0012460763526184193,-0.007460532163804823,0.01983827311866082
2018-01-19,-0.004462652452828841,0.0009741736041779525,0.0066286557245180955,0.015126325654449824,-0.002207579554727279,0.008287021476116818,-0.0011100016080874964,0.025263217405006477,0.015816873268893028,0.0007812377123355141
2018-01-22,-0.008181303827359487,0.025282411609683475,0.018067386854001333,0.015546858611985126,0.011680589910854078,0.022505327353944393,0.01788885870628998,0.015557585239388327,0.004399674810198428,0.0008630491941532537
2018-01-23,0.0002259816743903631,0.02654236704761037,0.010316355414106138,0.002151788336433258,-0.0010497605141762678,0.021470594729932957,0.0031655953011531235,0.022337344267543857,0.0034987229726255453,0.006774565520348608
2018-01-24,-0.015928383661731993,-0.0036915667119321594,-0.00414900898074233,0.006442303482703249,0.012783541908636398,-0.014787348521755006,-0.0008706265314748496,-0.013017429000464542,-0.019558338950656062,-0.001468171253373507
